=== Lista de Audios do Perfect Dark (Total: 548) ===
Formato para substituir/dublar:
  - Nome do arquivo: audio/<NomeDoArquivo>.mp3 (ex: Arecep01M.mp3)
  - Ou por ID decimal: audio/<ID_DEC>.mp3 (ex: 0625.mp3)
  - Ou por ID hexadecimal: audio/<ID_HEX>.mp3 (ex: 0271.mp3)

ID_DEC: 0625 | ID_HEX: 0x0271 | Nome: Arecep01M    | Arquivo: Arecep01M.mp3    | Tamanho: 2576 bytes
ID_DEC: 0626 | ID_HEX: 0x0272 | Nome: Arecep02M    | Arquivo: Arecep02M.mp3    | Tamanho: 4848 bytes
ID_DEC: 0627 | ID_HEX: 0x0273 | Nome: Arecep03M    | Arquivo: Arecep03M.mp3    | Tamanho: 4928 bytes
ID_DEC: 0628 | ID_HEX: 0x0274 | Nome: Arecep04M    | Arquivo: Arecep04M.mp3    | Tamanho: 5776 bytes
ID_DEC: 0629 | ID_HEX: 0x0275 | Nome: Arecep05M    | Arquivo: Arecep05M.mp3    | Tamanho: 2976 bytes
ID_DEC: 0630 | ID_HEX: 0x0276 | Nome: Arecep06M    | Arquivo: Arecep06M.mp3    | Tamanho: 6176 bytes
ID_DEC: 0631 | ID_HEX: 0x0277 | Nome: Arlguard1M   | Arquivo: Arlguard1M.mp3   | Tamanho: 4448 bytes
ID_DEC: 0632 | ID_HEX: 0x0278 | Nome: Arltech01M   | Arquivo: Arltech01M.mp3   | Tamanho: 5392 bytes
ID_DEC: 0633 | ID_HEX: 0x0279 | Nome: Arltech02M   | Arquivo: Arltech02M.mp3   | Tamanho: 5776 bytes
ID_DEC: 0634 | ID_HEX: 0x027a | Nome: Arltech03M   | Arquivo: Arltech03M.mp3   | Tamanho: 4448 bytes
ID_DEC: 0635 | ID_HEX: 0x027b | Nome: Arltech04M   | Arquivo: Arltech04M.mp3   | Tamanho: 2976 bytes
ID_DEC: 0636 | ID_HEX: 0x027c | Nome: Arltech05M   | Arquivo: Arltech05M.mp3   | Tamanho: 3744 bytes
ID_DEC: 0637 | ID_HEX: 0x027d | Nome: Arltech06M   | Arquivo: Arltech06M.mp3   | Tamanho: 2976 bytes
ID_DEC: 0638 | ID_HEX: 0x027e | Nome: Ascie2aM     | Arquivo: Ascie2aM.mp3     | Tamanho: 6320 bytes
ID_DEC: 0639 | ID_HEX: 0x027f | Nome: Ascie2bM     | Arquivo: Ascie2bM.mp3     | Tamanho: 4304 bytes
ID_DEC: 0640 | ID_HEX: 0x0280 | Nome: Ascie2cM     | Arquivo: Ascie2cM.mp3     | Tamanho: 5232 bytes
ID_DEC: 0641 | ID_HEX: 0x0281 | Nome: Ascie2dM     | Arquivo: Ascie2dM.mp3     | Tamanho: 5776 bytes
